Ray cluster started. Available resources: {'accelerator_type:G': 1.0, 'node:__internal_head__': 1.0, 'GPU': 1.0, 'node:172.23.48.184': 1.0, 'memory': 9414015386.0, 'CPU': 12.0, 'object_store_memory': 4034578022.0}
Waiting for actors to initialize and run one episode...
[36m(LearnerActor pid=50245)[0m (Learner pid=50245) Initializing on GPU...
[36m(LearnerActor pid=50245)[0m (Learner pid=50245) Setup complete.

Warmup phase...
  Buffer size: 1000/1000
Warmup complete. Time Taken 0.84 seconds. Starting main training loop.
Episodes: 15700 | Avg Return: -65.78 | Avg Loss: 5.5528 | Time: 2.04s
Episodes: 15800 | Avg Return: -67.61 | Avg Loss: 5.4782 | Time: 2.02s
Episodes: 15900 | Avg Return: -65.60 | Avg Loss: 5.2656 | Time: 2.06s
Episodes: 16000 | Avg Return: -65.55 | Avg Loss: 5.2833 | Time: 2.00s
Episodes: 16100 | Avg Return: -68.50 | Avg Loss: 5.3300 | Time: 2.05s
Episodes: 16200 | Avg Return: -74.83 | Avg Loss: 5.3016 | Time: 2.01s
Episodes: 16300 | Avg Return: -69.51 | Avg Loss: 5.3598 | Time: 2.01s
Episodes: 16400 | Avg Return: -68.62 | Avg Loss: 5.2432 | Time: 2.09s
Episodes: 16500 | Avg Return: -67.92 | Avg Loss: 5.1555 | Time: 1.94s
Episodes: 16600 | Avg Return: -67.46 | Avg Loss: 5.2598 | Time: 1.92s
Episodes: 16700 | Avg Return: -63.29 | Avg Loss: 5.3182 | Time: 1.99s
Episodes: 16800 | Avg Return: -65.55 | Avg Loss: 5.3354 | Time: 1.96s
Episodes: 16900 | Avg Return: -74.77 | Avg Loss: 5.0966 | Time: 2.07s
Episodes: 17000 | Avg Return: -66.71 | Avg Loss: 5.0145 | Time: 2.05s
Episodes: 17100 | Avg Return: -67.96 | Avg Loss: 5.0339 | Time: 2.18s
Episodes: 17200 | Avg Return: -66.42 | Avg Loss: 5.1696 | Time: 1.96s
Episodes: 17300 | Avg Return: -67.93 | Avg Loss: 5.1943 | Time: 2.00s
Episodes: 17400 | Avg Return: -69.33 | Avg Loss: 5.0920 | Time: 2.20s
Episodes: 17500 | Avg Return: -71.98 | Avg Loss: 5.0985 | Time: 2.01s
Episodes: 17600 | Avg Return: -60.05 | Avg Loss: 5.0430 | Time: 2.07s
Episodes: 17700 | Avg Return: -63.30 | Avg Loss: 5.0904 | Time: 2.04s
Episodes: 17800 | Avg Return: -71.68 | Avg Loss: 5.0632 | Time: 2.03s
Episodes: 17900 | Avg Return: -68.61 | Avg Loss: 5.2388 | Time: 2.05s
Episodes: 18000 | Avg Return: -65.31 | Avg Loss: 5.2117 | Time: 2.06s
Episodes: 18100 | Avg Return: -67.63 | Avg Loss: 5.0099 | Time: 1.96s
Episodes: 18200 | Avg Return: -67.68 | Avg Loss: 4.7873 | Time: 1.99s
Episodes: 18300 | Avg Return: -69.97 | Avg Loss: 4.7754 | Time: 2.03s
Episodes: 18400 | Avg Return: -69.65 | Avg Loss: 4.8344 | Time: 1.96s
Episodes: 18500 | Avg Return: -63.81 | Avg Loss: 4.8428 | Time: 1.93s
Episodes: 18600 | Avg Return: -61.72 | Avg Loss: 4.8966 | Time: 2.05s
Episodes: 18700 | Avg Return: -69.75 | Avg Loss: 4.8791 | Time: 1.95s
Episodes: 18800 | Avg Return: -67.56 | Avg Loss: 4.7940 | Time: 2.05s
Episodes: 18900 | Avg Return: -71.26 | Avg Loss: 4.7887 | Time: 1.98s
Episodes: 19000 | Avg Return: -75.17 | Avg Loss: 4.7286 | Time: 1.99s
Episodes: 19100 | Avg Return: -71.06 | Avg Loss: 4.7541 | Time: 1.96s
Episodes: 19200 | Avg Return: -69.01 | Avg Loss: 4.7745 | Time: 1.97s
Episodes: 19300 | Avg Return: -66.17 | Avg Loss: 4.6955 | Time: 2.03s
Episodes: 19400 | Avg Return: -67.89 | Avg Loss: 4.7722 | Time: 1.97s
Episodes: 19500 | Avg Return: -63.35 | Avg Loss: 4.7782 | Time: 1.97s
Episodes: 19600 | Avg Return: -70.19 | Avg Loss: 4.6993 | Time: 1.95s
Episodes: 19700 | Avg Return: -70.55 | Avg Loss: 4.5838 | Time: 2.06s
Episodes: 19800 | Avg Return: -71.33 | Avg Loss: 4.6447 | Time: 2.20s
Episodes: 19900 | Avg Return: -63.99 | Avg Loss: 4.6749 | Time: 2.11s
Episodes: 20000 | Avg Return: -64.55 | Avg Loss: 4.5669 | Time: 2.13s
Episodes: 20100 | Avg Return: -66.46 | Avg Loss: 4.6776 | Time: 2.03s
Episodes: 20200 | Avg Return: -65.98 | Avg Loss: 4.6992 | Time: 1.97s
Episodes: 20300 | Avg Return: -67.46 | Avg Loss: 4.6281 | Time: 2.00s
Episodes: 20400 | Avg Return: -66.56 | Avg Loss: 4.5522 | Time: 2.01s
Episodes: 20500 | Avg Return: -69.98 | Avg Loss: 4.6004 | Time: 1.96s
Episodes: 20600 | Avg Return: -69.50 | Avg Loss: 4.6437 | Time: 2.00s
Episodes: 20700 | Avg Return: -70.66 | Avg Loss: 4.6522 | Time: 1.97s
Episodes: 20800 | Avg Return: -68.36 | Avg Loss: 4.7381 | Time: 2.01s
Episodes: 20900 | Avg Return: -68.91 | Avg Loss: 4.6870 | Time: 1.98s
Episodes: 21000 | Avg Return: -68.14 | Avg Loss: 4.5266 | Time: 1.93s
Episodes: 21100 | Avg Return: -67.08 | Avg Loss: 4.4923 | Time: 1.99s
Episodes: 21200 | Avg Return: -69.15 | Avg Loss: 4.6226 | Time: 2.00s
Episodes: 21300 | Avg Return: -66.56 | Avg Loss: 4.6344 | Time: 2.00s
Episodes: 21400 | Avg Return: -71.82 | Avg Loss: 4.6640 | Time: 1.99s
Episodes: 21500 | Avg Return: -69.02 | Avg Loss: 4.6043 | Time: 1.98s
Episodes: 21600 | Avg Return: -68.77 | Avg Loss: 4.4947 | Time: 2.05s
Episodes: 21700 | Avg Return: -63.62 | Avg Loss: 4.3939 | Time: 1.99s
Episodes: 21800 | Avg Return: -62.39 | Avg Loss: 4.3733 | Time: 2.01s
Episodes: 21900 | Avg Return: -61.76 | Avg Loss: 4.4766 | Time: 2.05s
Episodes: 22000 | Avg Return: -62.79 | Avg Loss: 4.4992 | Time: 2.00s
Episodes: 22100 | Avg Return: -63.17 | Avg Loss: 4.5191 | Time: 2.02s
Episodes: 22200 | Avg Return: -65.21 | Avg Loss: 4.4663 | Time: 2.00s
Episodes: 22300 | Avg Return: -61.60 | Avg Loss: 4.3839 | Time: 2.04s
Episodes: 22400 | Avg Return: -60.42 | Avg Loss: 4.2918 | Time: 1.98s
Episodes: 22500 | Avg Return: -62.65 | Avg Loss: 4.3313 | Time: 1.98s
Episodes: 22600 | Avg Return: -64.33 | Avg Loss: 4.2441 | Time: 2.12s
Episodes: 22700 | Avg Return: -66.57 | Avg Loss: 4.2517 | Time: 1.98s
Episodes: 22800 | Avg Return: -71.36 | Avg Loss: 4.2018 | Time: 2.05s
Episodes: 22900 | Avg Return: -66.06 | Avg Loss: 4.2156 | Time: 1.97s
Episodes: 23000 | Avg Return: -66.85 | Avg Loss: 4.2905 | Time: 1.97s
Episodes: 23100 | Avg Return: -66.67 | Avg Loss: 4.2044 | Time: 1.99s
Episodes: 23200 | Avg Return: -63.21 | Avg Loss: 4.0792 | Time: 1.95s
Episodes: 23300 | Avg Return: -68.77 | Avg Loss: 4.2354 | Time: 1.99s
Episodes: 23400 | Avg Return: -74.73 | Avg Loss: 4.2680 | Time: 1.96s
Episodes: 23500 | Avg Return: -68.02 | Avg Loss: 4.2512 | Time: 1.99s
Episodes: 23600 | Avg Return: -69.41 | Avg Loss: 4.2804 | Time: 2.00s
Episodes: 23700 | Avg Return: -67.62 | Avg Loss: 4.2165 | Time: 2.00s
Episodes: 23800 | Avg Return: -64.53 | Avg Loss: 4.1751 | Time: 2.00s
Episodes: 23900 | Avg Return: -63.45 | Avg Loss: 4.0818 | Time: 1.97s
Episodes: 24000 | Avg Return: -65.70 | Avg Loss: 4.1216 | Time: 2.04s
Episodes: 24100 | Avg Return: -69.03 | Avg Loss: 4.0597 | Time: 1.99s
Episodes: 24200 | Avg Return: -67.26 | Avg Loss: 4.0615 | Time: 1.97s
Episodes: 24300 | Avg Return: -64.54 | Avg Loss: 4.1394 | Time: 2.01s
