Ray cluster started. Available resources: {'node:172.23.48.184': 1.0, 'memory': 9414347981.0, 'object_store_memory': 4034720563.0, 'accelerator_type:G': 1.0, 'node:__internal_head__': 1.0, 'CPU': 12.0, 'GPU': 1.0}
Waiting for actors to initialize and run one episode...
[36m(DataActor pid=102538)[0m (DataActor pid=102538) Initializing on CPU...
[36m(DataActor pid=102538)[0m (DataActor pid=102538) Setup complete.
[36m(LearnerActor pid=102534)[0m (Learner pid=102534) Initializing on GPU...
[36m(LearnerActor pid=102534)[0m (Learner pid=102534) Setup complete.
[36m(DataActor pid=102539)[0m (DataActor pid=102539) Initializing on CPU...[32m [repeated 5x across cluster] (Ray deduplicates logs by default. Set RAY_DEDUP_LOGS=0 to disable log deduplication, or see https://docs.ray.io/en/master/ray-observability/user-guides/configure-logging.html#log-deduplication for more options.)[0m
[36m(DataActor pid=102531)[0m (DataActor pid=102531) Setup complete.[32m [repeated 5x across cluster][0m

Warmup phase...
  Buffer size: 1000/1000
Warmup complete. Starting main training loop.
Episodes: 10500 | Avg Return: -615.23 | Avg Loss: 131.6121 | Time: 6.70s
Episodes: 10600 | Avg Return: -627.61 | Avg Loss: 130.9915 | Time: 6.98s
Episodes: 10700 | Avg Return: -628.29 | Avg Loss: 131.0004 | Time: 6.98s
Episodes: 10800 | Avg Return: -632.53 | Avg Loss: 130.3485 | Time: 6.98s
Episodes: 10900 | Avg Return: -588.22 | Avg Loss: 130.0930 | Time: 6.81s
Episodes: 11000 | Avg Return: -607.46 | Avg Loss: 130.1090 | Time: 6.91s
Episodes: 11100 | Avg Return: -535.97 | Avg Loss: 130.0122 | Time: 7.00s
Episodes: 11200 | Avg Return: -572.02 | Avg Loss: 129.5241 | Time: 7.04s
Episodes: 11300 | Avg Return: -675.38 | Avg Loss: 129.1914 | Time: 6.87s
Episodes: 11400 | Avg Return: -591.14 | Avg Loss: 129.0633 | Time: 6.98s
Episodes: 11500 | Avg Return: -515.31 | Avg Loss: 128.9314 | Time: 7.07s
Episodes: 11600 | Avg Return: -522.41 | Avg Loss: 128.7090 | Time: 6.85s
Episodes: 11700 | Avg Return: -549.84 | Avg Loss: 128.6367 | Time: 7.07s
Episodes: 11800 | Avg Return: -516.83 | Avg Loss: 128.1979 | Time: 7.10s
Episodes: 11900 | Avg Return: -525.55 | Avg Loss: 127.7960 | Time: 6.91s
Episodes: 12000 | Avg Return: -496.27 | Avg Loss: 127.4388 | Time: 6.84s
Episodes: 12100 | Avg Return: -464.02 | Avg Loss: 127.2568 | Time: 7.18s
Episodes: 12200 | Avg Return: -547.62 | Avg Loss: 127.5630 | Time: 7.10s
Episodes: 12300 | Avg Return: -515.21 | Avg Loss: 126.9874 | Time: 6.91s
Episodes: 12400 | Avg Return: -532.17 | Avg Loss: 126.7764 | Time: 7.07s
Episodes: 12500 | Avg Return: -622.42 | Avg Loss: 126.4648 | Time: 6.99s
Episodes: 12600 | Avg Return: -576.02 | Avg Loss: 126.2726 | Time: 6.96s
Episodes: 12700 | Avg Return: -523.30 | Avg Loss: 126.0942 | Time: 6.95s
Episodes: 12800 | Avg Return: -553.86 | Avg Loss: 125.9454 | Time: 6.77s
Episodes: 12900 | Avg Return: -566.64 | Avg Loss: 125.4533 | Time: 7.07s
Episodes: 13000 | Avg Return: -510.13 | Avg Loss: 125.3442 | Time: 7.03s
Episodes: 13100 | Avg Return: -550.40 | Avg Loss: 125.0471 | Time: 6.93s
Episodes: 13200 | Avg Return: -542.50 | Avg Loss: 124.7783 | Time: 7.03s
Episodes: 13300 | Avg Return: -520.52 | Avg Loss: 124.5252 | Time: 7.03s
Episodes: 13400 | Avg Return: -513.91 | Avg Loss: 124.5485 | Time: 7.07s
