Ray cluster started. Available resources: {'GPU': 1.0, 'node:172.23.48.184': 1.0, 'memory': 9198943847.0, 'accelerator_type:G': 1.0, 'node:__internal_head__': 1.0, 'CPU': 12.0, 'object_store_memory': 3942404505.0}
Waiting for actors to initialize and run one episode...
[36m(DataActor pid=7609)[0m (DataActor pid=7609) Initializing on CPU...
[36m(DataActor pid=7609)[0m (DataActor pid=7609) Setup complete.
[36m(LearnerActor pid=7614)[0m (Learner pid=7614) Initializing on GPU...
[36m(LearnerActor pid=7614)[0m (Learner pid=7614) Setup complete.
[36m(DataActor pid=7617)[0m (DataActor pid=7617) Initializing on CPU...[32m [repeated 5x across cluster] (Ray deduplicates logs by default. Set RAY_DEDUP_LOGS=0 to disable log deduplication, or see https://docs.ray.io/en/master/ray-observability/user-guides/configure-logging.html#log-deduplication for more options.)[0m
[36m(DataActor pid=7617)[0m (DataActor pid=7617) Setup complete.[32m [repeated 5x across cluster][0m

Warmup phase...
  Buffer size: 1000/1000
Warmup complete. Starting main training loop.
Episodes: 10300 | Avg Return: -550.33 | Avg Loss: 132.2958 | Time: 7.24s
Episodes: 10400 | Avg Return: -569.34 | Avg Loss: 131.8806 | Time: 7.29s
Episodes: 10500 | Avg Return: -586.80 | Avg Loss: 131.5158 | Time: 7.77s
Episodes: 10600 | Avg Return: -582.79 | Avg Loss: 131.4442 | Time: 7.60s
Episodes: 10700 | Avg Return: -553.48 | Avg Loss: 131.2119 | Time: 7.82s
Episodes: 10800 | Avg Return: -556.72 | Avg Loss: 130.6696 | Time: 7.21s
Episodes: 10900 | Avg Return: -553.28 | Avg Loss: 130.1802 | Time: 7.22s
Episodes: 11000 | Avg Return: -609.20 | Avg Loss: 130.1956 | Time: 7.08s
Episodes: 11100 | Avg Return: -494.02 | Avg Loss: 130.0391 | Time: 7.68s
Episodes: 11200 | Avg Return: -555.80 | Avg Loss: 129.8528 | Time: 7.41s
Episodes: 11300 | Avg Return: -577.68 | Avg Loss: 129.3503 | Time: 7.25s
Episodes: 11400 | Avg Return: -464.33 | Avg Loss: 128.8332 | Time: 7.31s
Episodes: 11500 | Avg Return: -490.71 | Avg Loss: 128.7121 | Time: 7.70s
Episodes: 11600 | Avg Return: -513.47 | Avg Loss: 128.4644 | Time: 7.98s
Episodes: 11700 | Avg Return: -548.89 | Avg Loss: 128.4281 | Time: 7.11s
Episodes: 11800 | Avg Return: -574.01 | Avg Loss: 127.9031 | Time: 7.53s
Episodes: 11900 | Avg Return: -562.31 | Avg Loss: 127.8212 | Time: 7.22s
Episodes: 12000 | Avg Return: -477.97 | Avg Loss: 127.7622 | Time: 7.27s
Episodes: 12100 | Avg Return: -491.55 | Avg Loss: 127.0299 | Time: 8.08s
Episodes: 12200 | Avg Return: -510.04 | Avg Loss: 126.7386 | Time: 7.53s
Episodes: 12300 | Avg Return: -538.98 | Avg Loss: 126.2631 | Time: 7.93s
Episodes: 12400 | Avg Return: -540.48 | Avg Loss: 126.1528 | Time: 8.46s
Episodes: 12500 | Avg Return: -532.57 | Avg Loss: 125.8773 | Time: 8.54s
Episodes: 12600 | Avg Return: -490.07 | Avg Loss: 125.8143 | Time: 7.96s
Episodes: 12700 | Avg Return: -550.19 | Avg Loss: 125.7116 | Time: 7.83s
Episodes: 12800 | Avg Return: -521.69 | Avg Loss: 125.5922 | Time: 7.21s
Episodes: 12900 | Avg Return: -590.34 | Avg Loss: 125.1222 | Time: 7.05s
Episodes: 13000 | Avg Return: -521.83 | Avg Loss: 125.1140 | Time: 7.23s
Episodes: 13100 | Avg Return: -572.27 | Avg Loss: 124.7462 | Time: 7.18s
Episodes: 13200 | Avg Return: -524.81 | Avg Loss: 124.8120 | Time: 7.14s
Episodes: 13300 | Avg Return: -483.31 | Avg Loss: 124.3563 | Time: 7.34s
Episodes: 13400 | Avg Return: -562.49 | Avg Loss: 124.6442 | Time: 7.45s
Episodes: 13500 | Avg Return: -494.81 | Avg Loss: 124.2733 | Time: 7.16s
Episodes: 13600 | Avg Return: -528.94 | Avg Loss: 123.8643 | Time: 8.26s
Episodes: 13700 | Avg Return: -517.13 | Avg Loss: 123.5089 | Time: 7.31s
Episodes: 13800 | Avg Return: -525.23 | Avg Loss: 123.5649 | Time: 7.37s
Episodes: 13900 | Avg Return: -487.99 | Avg Loss: 123.6244 | Time: 7.08s
Episodes: 14000 | Avg Return: -514.27 | Avg Loss: 123.3362 | Time: 7.35s
Episodes: 14100 | Avg Return: -527.28 | Avg Loss: 123.2236 | Time: 8.15s
Episodes: 14200 | Avg Return: -469.21 | Avg Loss: 122.9010 | Time: 8.47s
Episodes: 14300 | Avg Return: -494.80 | Avg Loss: 122.5433 | Time: 8.25s
Episodes: 14400 | Avg Return: -473.09 | Avg Loss: 122.4996 | Time: 8.22s
Episodes: 14500 | Avg Return: -514.14 | Avg Loss: 122.4101 | Time: 7.57s
Episodes: 14600 | Avg Return: -562.22 | Avg Loss: 122.4807 | Time: 6.81s
Episodes: 14700 | Avg Return: -430.92 | Avg Loss: 122.1756 | Time: 6.92s
Episodes: 14800 | Avg Return: -535.43 | Avg Loss: 121.7911 | Time: 7.03s
Episodes: 14900 | Avg Return: -492.54 | Avg Loss: 121.9332 | Time: 6.98s
Episodes: 15000 | Avg Return: -595.04 | Avg Loss: 122.3886 | Time: 7.27s
Episodes: 15100 | Avg Return: -516.42 | Avg Loss: 121.8092 | Time: 7.59s
Episodes: 15200 | Avg Return: -520.08 | Avg Loss: 121.5853 | Time: 6.94s
Episodes: 15300 | Avg Return: -513.42 | Avg Loss: 121.5436 | Time: 7.19s
Episodes: 15400 | Avg Return: -486.00 | Avg Loss: 121.4765 | Time: 7.34s
Episodes: 15500 | Avg Return: -544.24 | Avg Loss: 121.0380 | Time: 7.09s
Episodes: 15600 | Avg Return: -511.56 | Avg Loss: 120.8257 | Time: 7.57s
Episodes: 15700 | Avg Return: -447.99 | Avg Loss: 120.9254 | Time: 8.11s
Episodes: 15800 | Avg Return: -584.07 | Avg Loss: 120.9520 | Time: 7.14s
Episodes: 15900 | Avg Return: -498.54 | Avg Loss: 120.4070 | Time: 6.91s
Episodes: 16000 | Avg Return: -440.49 | Avg Loss: 120.1694 | Time: 7.05s
Episodes: 16100 | Avg Return: -499.74 | Avg Loss: 120.5877 | Time: 7.59s
Episodes: 16200 | Avg Return: -485.46 | Avg Loss: 120.4289 | Time: 6.88s
Episodes: 16300 | Avg Return: -490.55 | Avg Loss: 120.0059 | Time: 7.00s
Episodes: 16400 | Avg Return: -526.60 | Avg Loss: 119.7786 | Time: 7.48s
Episodes: 16500 | Avg Return: -545.78 | Avg Loss: 119.8757 | Time: 7.17s
Episodes: 16600 | Avg Return: -473.16 | Avg Loss: 120.0264 | Time: 7.19s
Episodes: 16700 | Avg Return: -501.61 | Avg Loss: 119.8190 | Time: 7.37s
Episodes: 16800 | Avg Return: -496.32 | Avg Loss: 119.6581 | Time: 7.78s
Episodes: 16900 | Avg Return: -503.56 | Avg Loss: 119.6993 | Time: 7.39s
Episodes: 17000 | Avg Return: -521.82 | Avg Loss: 119.6117 | Time: 7.02s
Episodes: 17100 | Avg Return: -517.37 | Avg Loss: 119.2414 | Time: 7.14s
Episodes: 17200 | Avg Return: -510.27 | Avg Loss: 119.4209 | Time: 7.30s
Episodes: 17300 | Avg Return: -452.05 | Avg Loss: 119.3782 | Time: 6.77s
Episodes: 17400 | Avg Return: -521.93 | Avg Loss: 119.1638 | Time: 6.78s
Episodes: 17500 | Avg Return: -602.52 | Avg Loss: 119.3029 | Time: 6.56s
Episodes: 17600 | Avg Return: -463.89 | Avg Loss: 119.1111 | Time: 6.81s
Episodes: 17700 | Avg Return: -476.79 | Avg Loss: 119.0106 | Time: 6.73s
Episodes: 17800 | Avg Return: -483.55 | Avg Loss: 118.8380 | Time: 6.90s
Episodes: 17900 | Avg Return: -431.24 | Avg Loss: 118.9143 | Time: 6.75s
Episodes: 18000 | Avg Return: -520.61 | Avg Loss: 118.9592 | Time: 6.63s
